index,content,A,B,C,D,ans
107,14世纪，一场被称为“黑死病”的大瘟疫席卷整个欧洲，夺走了约2500万人的生命，死亡人数接近当时欧洲总人口的三分之一。导致这场瘟疫的传染病是()。,鼠疫,天花,艾滋病,狂犬病,A
108,南京是中国历史文化名城，有“六朝古都”之称。下列选项中，曾在南京建都，却又不属于前述“六朝”的是()。,三国吴,东晋,南朝陈,明朝,D
109,弗兰兹·卡夫卡是现代主义、表现主义文学的重要代表，创作了一些影响很大的小说，在当代西方文学中占有重要地位。下列选项中，不属于卡夫卡作品的是()。,《判决》,《审判》,《局外人》,《变形记》,C
110,《四时田园杂兴》由60首七言绝句组成，描绘了四季不同的田园景色，展现了当时江南农村的环境、风土、民俗和农家的生活情景。这首诗的作者是()。,陶渊明,王绩,王维,范成大,D
111,自由贸易区通常是指一国划在国境以内、关境以外的部分，在该区内进出口商品免征关税，并准许自由改装、加工、长期储存或销售等。2013年中国设立了首个自由贸易区，该贸易区是()。,中国(广东)自由贸易试验区,中国(上海)自由贸易试验区,中国(天津)自由贸易试验区,中国(福建)自由贸易试验区,B
112,联合国教科文组织总部所在地巴黎，拥有众多图书馆、博物馆、画廊等。下列文化艺术场所，不在巴黎的是()。,卢浮宫博物馆,奥赛美术馆,斯卡拉歌剧院,蓬皮杜文化艺术中心,C
113,在一次测试中，高分组全部通过甲试题，而低分组没有一人通过;高分组和低分组都有40%的人通过了乙试题，则甲试题和乙试题的区分度分别是()。,0和1,0和0.4,1和0.4,1和0,D
114,Word中，菜单栏中的“剪切”和“复制”呈浅灰色，功能处于禁用状态，造成此现象的原因是()。,剪贴板上已有信息存放,在文档中没有选中内容,选定的内容是本地图片,选定的文档太长，剪贴板放不下,B
115,Excel中，工作表被删除后，下列说法正确的是()。,表中数据也被删除，但可用“撤销”来恢复,数据仍然保存在内存里，只不过是不再显示,数据被全部删除，而且不可用“撤销”来恢复,数据进入了回收站，可以去回收站将数据恢复,C
116,下列选项中，与“科学家—画家”的逻辑关系相同的是()。,蜜蜂和昆虫,戏迷和美食家,面粉和大米,汽车和润滑油,B
117,按规律填数字是一个很有趣的活动，特别锻炼观察和思考能力。下列选项中，填入数列“6、9、20、34、()、98”空缺处的数字，正确的是()。,59,69,79,89,A
118,“建国君民，教学为先”这句话反映的是,教育与文化的关系,教育与经济的关系,教育与政治的关系,教育与科技的关系,C
119,“身正，不令而行，其身不正，虽令不从”，这表明教师的行为具有,主体性,创造性,间接性,示范性,D
120,班集体形成的条件和发展的动力是()。,共同的奋斗目标,班主任的要求,班委会的形成,共同的活动,A
121,下列著作中，由罗马教育家昆体良撰写的是,《教育论》,《理想国》,《教育漫话》,《雄辩术原理》,D
122,兵兵很想改掉上课爱说闲话的毛病，但上课时只要老师一不注意，他又忍不住说起闲话来。针对兵兵的情况，对他的教育应着重培养()。,道德认识,道德情感,道德意志,道德行为,C
123,对观察内容与步骤不作限定的教育观察属于,结构式观察,参与性观察,非结构式观察,非参与性观察,C
124,学龄儿童易感染麻疹病毒。该病毒传播的主要途径是,血液,消化道,呼吸道,蚊虫叮咬,C
125,依据柯尔伯格的理论，以“好孩子”为取向的儿童道德发展处于()。,惩罚服从取向阶段,相对功利取向阶段,寻求认可取向阶段,遵守法规取向阶段,C
126,贾老师告诉学生:“不高兴时，你可以跑跑步、打打球，或者散散步、听听音乐甚至可以大喊大叫。”贾老师所使用的心理辅导技术是,积极暗示,行为矫正,认知改变,情绪调控,D
127,考试时，学生依据实际情况适时调整答题速度或解题思路的策略属于()。,元认知策略,认知策略,精加工策略,资源管理策略,A
128,在掌握“动物”概念的基础上，学生又学习了“脊椎动物”和“无脊椎动物”这两个概念。这种学习属于,上位学习,下位学习,发现学习,并列结合学习,B
129,数学课已经开始了，萍萍还在想着课间谈论的周末春游的事。这种心理现象属于,注意分散,注意动摇,注意分配,注意转移,A
130,强调学科逻辑体系完整性和不同学科门类之间相对独立性的课程是()。,经验课程,综合课程,活动课程,分科课程,D
131,《学记》中体现“循序渐进”教学原则的语句是,禁于未发,学不躐等,相观而善,独学而无友,B
132,《义务教育课程方案(2022年版)》提出，应充分发挥实践的独特育人功能，突出学科思想方法和探究方式的学习，加强知行合一、学思结合，倡导()。,“做中学”“思中学“创中学”,“做中学”“用中学”“创中学”,“做中学”练中学”“创中学”,“做中学”“用中学”“读中学”,B
133,最有利于高效率、大面积传授知识的教学组织形式是,班级授课制,道尔顿制,特朗普制,文纳特卡制,A
134,芸芸期末考试数学成绩不太好，只得了55分，但杨老师仍表扬”了她，因为期中考试芸芸的数学了30分。杨老师所采用的评价方式属于(),过程性评价,终结性评价,相对性评价,个体内差异评价,D
135,课外活动区别于课堂教学的显著特征是(),自愿性,计划性,同步性,组织性,A
136,下列关于课程的理解中，没有体现“学习者是课程主体”的是(),课程即对话,课程即知识,课程即经验,课程即活动,B
137,“10以内的数字”一课教学结束时，为巩固所学内容，李老师让学生诵读儿歌:“1像铅笔细长条，2像小鸭水上漂，3像耳朵听声音，4像小旗迎风飘……”这种结课方式属于(),自然式,总结式,游戏式,悬念式,C
138,何老师经常要求班里的学困生在课间操时去他办公室补课。何老师的做法,恰当，有利于营造学习氛围,不恰当，不利于学生全面发展,恰当，有利于提高学习成绩,不恰当，不利于学生均衡发展,B
139,有教育家提出，学习应“以儿童自己的冲动为起点，以达到最高水平为目的”。这是因为学生的发展具有(),顺序性,不平衡性,能动性,互补性,C
140,在某校延续多年的教研沙龙活动中，老师们积极参与，讨论教学中的热点、难点问题，在相互启发中不断寻找新的教研生长点。下列对该案例中教师角色描述不恰当的是(),研究者,合作者,管理者,学习者,C
141,老师说:“不能用同样的水准要求学生，也不能揠苗助长，我一直都坚定不移地相信学困生是迟开的花朵'，早晚都会开放。”下列选项中与老师的说法不一致的是(),注重学生发展的整体性,关注到学生具有差异性,注重学生发展的顺序性,关注到学生具有发展性,A
142,国务院常务会议的组成人员不包括(),总理、副总理,各部部长,国务院秘书长,国务委员,B
143,卫生部门违规向学校收取费用。依据《中华人民共和国教育法》，令其退返所收费用的机构是()。,当地工商部门,当地教育部门,当地公安部门,当地人民政府,D
144,家长王某对教师李某批评其儿子心怀不满，认为李某对其儿子有偏见。一天，王某在路上截住下班回家的李某，对其进行殴打，造成李某肋骨多处骨折。对此伤害事件，下列说法不正确的是(),可以依法追究王某的刑事责任,可以依法追究王某的民事责任,依法给予王某行政处罚,李某所在学校应给予王某行政处罚,D
145,初中生张某闯进某小学，将课间正在操场玩耍的小学生刘某打伤。对刘某所受的人身伤害应承担赔偿责任的是(),某所在学校,张某的监护人,刘某所在学校和张某所在学校,刘某所在学校和张某的监护人,D
146,教师钱某认为学校侵犯了其工资报酬权，向当地教育行政部门]提出申诉。教育行政部门接到申诉作出处理的时限是(),15日内,30日内,45日内,60日内,B
147,某小学试行“绿色惩戒”，如学生在课堂打闹，要求教师采取的措施不是责罚，而是让学生背诵五则励志名言，或是收集一篇有关自律的文章并写出心得体会。该校的举措,体现了对学生的关心、爱护和尊重,弱化了对学生违纪行为的自主管理,不利于开展教学改革和实验,不利于培养学生的责任意识和纪律观念,A
148,小学生胡某因有严重不良行为，被转至专门学校接受教育，下列关于胡某学籍的说法正确的是,学校可依法取消胡某的学籍,胡某的学籍仍保留在原学校,胡某自主选择学籍的去向,胡某的学籍应转至专门学校,B
149,依据《中华人民共和国未成年人保护法》，下列选项中属于司法保护的是(),人民法院开庭时，未成年被害人一般不出庭作证,公安机关依法维护校园周边治安交通秩序,任何组织或个人不得招用未满16周岁的未成年人,监护人依法履行对未成年人的监护职责和抚养义务,A
150,"李老师在班里开展“大家-起找优点""活动，要求学生设立“优点记录本""，既记录自己的优点，也记录同学的优点，并在每周“优点交流会""上交流。李老师的做法()。",不恰当，将导致学生的盲目自信,不恰当，将导致学生报喜不报忧,恰当，能激励学生不断进步,恰当，能减少班主任工作量,C
151,星期一的升旗仪式上，一(2)班有3位同学迟到，一个是因赖床起晚了，-个因路上摔了一跤回家换衣服了，还有一个是因堵车耽搁了。班主任认为这些都属于可以避免的情况，便采取了同样的惩戒措施。这表明该班主任缺乏()。,教育公正的自觉性,教育公正的灵活性,教育公正的整合性,教育公正的形式性,B
152,有家长反映陈老师最近上课总是敷衍了事。经调查了解，陈老师开了一家网店，以致精力不济，备课不充分。对此，陈老师正确的做法是(),联系家长，搞好家校关系,继续经营，加大工作投入,化解冲突，委托同事代课,关闭网店，认真备课施教,D
153,"疫情期间，某小学胡老师说:""教育管理部门不应该要求停课不停学，我们实施起来太困难，""并且不予配合，这表明胡老师在教师职业道德方面没有做到","""庄严自持，内外若一”",“知者必量其期所能至而从事焉”,"""善为师者，既美其道，又慎其行”","""不以一人疑天下，不以天下私一人”",C
154,地球千姿百态的地貌都是地质作用的结果。地质作用按其能量来源，可分为内力作用和外力作用。下列地貌中，属于内力作用导致的是()。,冰川,溶洞,断层,沙漠,C
155,空空导弹就是从飞行器上发射攻击空中目标的导弹。“响尾蛇”导弹是全世界第一款实用化的空空导弹，也是第一款有击落目标记录的空空导弹。该导弹采用的制导方式是()。,红外制导,雷达制导,天文制导,激光制导,A
156,20世纪70年代，科学家在非洲发现一约三百万年前的年轻女性遗骨化石，取名“露西”对她的化石研究后发现她能直立行走，将期归类为南方古猿。该遗骨化石的发现地是(),津巴布韦,坦桑尼亚,阿尔及尼亚,埃塞俄比亚,D
157,君主立宪制是指国家元首由世袭的君主担任，君主的权利受到宪法和议会制约的君主制政体。下列选项中，不是君主立宪制政体的国家是(),日本,丹麦,奥地利,西班牙,C
158,商朝最初定都于毫，此后迁都。其中最重要的一次是迁都到殷，自此逐渐强盛起来，农业发达，政局稳定，诸侯来朝。下列选项中，迁都至殷的商王是(),盘庚,南庚,太庚,祖庚,A
159,在中国古代文学作品中，有着丰富的女性形象。下列女性形象中，出自冯梦龙《警世通言》的是(),湘篮子,糜夫人,岚三娘,杜十娘,D
160,五确大楼位于华盛顿特区西南方的弗吉尼亚州。因其特殊的职能，有时“五角大楼”这个词不仅仅代表这座建筑本身，也常用来代指某个特定机构，该机构的名称是(),美国总统府,美国国防部,中央情报局,联邦调查局,B
161,最常用的是百分等级和标准分数。如果某学生在一次全区数学统考中卷面分数为70分。而全区有60%的学生卷面成绩低于70分，则该生在此次考试的百分等级为(),60,65,70,75,A
162,在word文档中，如果出现了内容相同的错误，下列操作中，可一次性修改这些错误的是(),逐字查找更正,使用“撤销”命令与“恢复”命令,使用“定位”命令,"使用“编辑”菜单的“替换""命令",D
163,在PowerPoint中，演示文稿的基本组成单元是(),文本,图形,幻灯片,工本,C
164,单选题下列选项中，与“青年与记者”的关系相同的(),“护士”和“医生”,“学生”和“团员”,“警察”和“狱警”,“作家”和“文人”,B
165,找规律填数字是一项很有趣的游戏，特别锻炼观察和思考能力。下列选项中，填入数列[2、3、9、30、()、8193]空缺处的数字，正确的是(),263,273,283,293,B
166,制约教育发展规模和速度的主要因素是（）。,政治,经济,文化,人口,B
167,“只有受过恰当的教育之后，人才能成为一个人。”这表明教育的本质是（）。,传递社会经验的活动,培养人的社会实践活动,传递人类文化的活动,保存人类文明的活动,B
168,1912年，蔡元培在《对于教育方针之意见》一文中提出了世界观教育，并指明实现世界观教育的主要途径是（）。,德育,智育,美育,体育,C
169,在小学阶段，榜样作为一种重要的德育手段，主要是将道德规范（）。,具体化与人格化,标准化与系统,标准化与制度化,人格化与系统化,A
170,在中国近代教育史上，以美国学制为蓝本，强调适应社会发展需要的学制是（）。,壬寅学制,癸卯学制,壬戌学制,壬子癸丑学制,C
171,“教学有法，但无定法，贵在得法。”这说明教师劳动具有（）。,繁重性,创造性,示范性,长期性,B
172,夏季，师生在操场活动时突然遇到雷雨天气，最安全的做法是（）。,站在空旷的地方,在大树下避雨,在建筑物下避雨,立即进入建筑物内并关闭门窗,D
173,“及时复习”是学习记忆学习材料的有效策略，依据的遗忘规律是（）。,先快后慢,时快时慢,先慢后快,呈倒U形,A
174,小明思维与行动敏捷活泼，善于适应环境变化，它的气质类型属于（）。,多血质,胆汁质,粘液质,抑郁质,A
175,小学生在学习加法时，需要利用小石子、小木棒、手指等完成计算活动，依据加里培林“儿童智力活动按阶段形成理论”，这种智力活动处于（）。,活动的定向阶段,无声的外部言语活动阶段,有声的言语的活动阶段,物质活动或物质化活动阶段,D
176,小红非常喜欢数学，对数学问题具有强烈的好奇心和探究兴趣。这种学习动机是（）。,成就动机,认知内驱力,自我提高内驱力,附属内驱力,B
177,小学三四年级儿童的思维发展会出现质变，表现为（）。,从直观思维过渡到具体形象思维,从具体形象思维过渡到直观动作思维,从具体形象思维过渡到初步的抽象逻辑思维,从直观动作思维过度到初步的抽象逻辑思维,C
178,小学分科课程和综合课程的分类依据是（）。,课程内容的组织方式,课程计划对课程实施的要求,课程内容固有的属性,课程管理的层次,A
179,在设计数学目标时，经常用“参与、交流、经历、发现、探索”等行为助词表述的属于（）,知识与技能目标,行为与实践标,过程与方法的目标,情感态度与价值观目标,C
180,为进一步推进教育评价改革，教育部倡导小学生的评价应采用（）,百分制,等级制,评语制,等级与评语,D
181,具体规定教学阶段学校应设置的课程，课程开设的科目及课时分配的指导性文件是（）,课程计划,课程目标,培养目标,教学大纲,A
182,基础教育课程改革倡导“教师用教材教，而不是教教材”这体现的课程实施取向是（）,忠实取向,创生取向,实践取向,相互适应取向,B
183,在下列选自《学记》的语句中，体现教学语言应简单明了的是（）,学不躐等,开而弗达,禁于未发,罕譬而喻,D
184,在讲完长方形面积计算后，王老师要求学生回家计算一下自己房间的面积，以加深对知识的理解。这种教学方法是（）,实践研究法,实验教学法,实习作业法,实物演示法,C
185,强强学习一般，但劳动积极，老师奖励他一朵小红花。这种评价属于（）,常模参照评价,标准参照评价,个体内差异评价,总结性评价,C
186,王老师经常反问自己：怎样科学设计教学目标？怎样有效改善教学效果？怎样提高学生成绩？这表明王老师所处的专业发展阶段是（）,任教前关注阶段,早期求生存阶段,关注教学情境阶段,关注学生阶段,C
187,课堂上，东东问马老师：“老师，在月亮上看天，天是不是蓝的呢？”马老师说：“你懂什么！听老师讲就行了。你呀，总是打岔，这是不礼貌的，今后不要这样。”这表明马老师（）,忽视了学生的阶段性,忽视了学生的自主性,忽视了学生的不平衡性,忽视了学生的整体性,B
188,在综合实践活动中，王老师鼓励学生参与调查报告的撰写和评分规则的制定，下列与王老师做法不符的是（）,注重了学生的差别性,注重了学生的创造性,尊重了学生的自主性,尊重了学生的能动性,A
189,李老师把作业从难到易分成了ABC三类，他在班上特意交代：学优生只能做A类作业，中等生只能做B类，学困生只做C类。李老师的做法（）,遵循因材施教原则,减轻了学生的学习负担,违背了教学相长的原则,忽视了学生的学习潜力,D
190,下列不属于县级人民代表大会权限的是（）,罢免本级人民法院院长,监督本级监察委员会工作,撤销本级人代会的不适当决议,罢免上一级人代会的个别代表,C
191,为了提高学生的科学素养，顾老师计划带他们去参观当地的科技馆，科技馆以学生年龄小，人数多，管理不便为由，婉拒了请求，它的行为（）,应当改进，科技馆应为师生参观提供便利,可以理解，科技馆并不是专门的教育机构,值得肯定，科技馆应当确保学生的人生安全,有待商榷，科技馆所有的设施应向师生免费开放,A
192,小雨7岁了，父母不送他去上学，而是联合了几位志趣相投的朋友，在自己家对孩子进行教育。对此，下列正确的是（）,小雨的父母应报当地人民政府审核批准,小雨的父母应到当地教育行政部门备案,教育行政部门应依法督促小雨的父母改正,教育行政部门应依法对小雨的父母予以处分,C
193,为促进教师终身学习，某县教育行政部门为所有在岗教师提供了每年不低于72学时的培训机会，该县的做法（）,正确，保障了教师参加进修培训的权利,正确，促进了义务教育经费的均衡分配,错误，侵犯了学校自主管理的权利,错误，侵犯了教师带薪休假的权利,A
194,小学生潘某与陈某课间打羽毛球，击球中，潘某所挥的球拍突然脱手，击中了一旁观看的李某，导致其左眼受伤，对于李某的伤害，应承担主要赔偿责任的是（）,潘某监护人,陈某监护人,李某的班主任,李某的学校,A
195,考试前，李老师发现少了一份试卷，便对学生昭宇说：“你基础太差，参加了考试也不能及格，还是自己看书学习吧！”于是把试卷给了其他同学。李老师的做法（）,错误，班主任才有免除学生参加考试的权利,错误，基础再差的学生也有参加考试的权利,正确，体现了严慈相济的职业道德,正确，体现了因材施教的教育理念,B
196,梓轩的画多次在市儿童画展上获奖，前段期间，某出版社因修订地方教材的需要，在未联系他的情况下，就用了他的一幅作品作为插图，该出版社的做法（）,合法，教材的编辑和出版属于社会公益事业,合法，出版社使用的是已公开发表的作品,不合法，出版社应该事先取得梓轩的授权,不合法，不应该选择未成年作品作为插图,C
197,思涵受不了继母的虐待，找到班主任刘老师求助。刘老师当即向王校长汇报，王校长却说：“清官难断家务事，这种事我们还是别管了。”王校长的做法（）,错误，学校应依法履行监护责任，保护儿童人身安全,错误，学校应依法履行保护义务，积极采取救助措施,正确，学校没有执法权限，光凭劝说无济于事,正确，学校不是行政机关，无权干预家庭事务,B
198,某小学项老师发现班上小娟最近情绪低落，上课分心，成绩下滑，经了解才知道有高年级学生多次欺负她，还不许她告诉别人，项老师的措施不恰当的是（）,鼓励大胆向老师家长求助,请求学校对违纪学生严加管教,找到欺负小娟的学生进行教育,建议学校劝退欺负小娟的学生,D
199,开学伊始，刘老师在班上进行“班级公约海选”，还推选了“公约管理员”，负责监督执行情况并反馈。对刘老师的做法，下列说法正确的是（）,会滋长“公约管理员”打小报告的不良习惯，但有利于学生自我管理,推选“公约管理员”不利于学生和睦相处，但尊重了学生主体性,推选“公约管理员”有违全员参与精神，但体现了班级民主管理,会增加“公约管理员”的任务，但调动了学生的积极性、主动性,D
200,父母在外打工的玲玲和年迈的奶奶住在一起，吴老师得知后经常去帮助他们，村民们受到感染，也纷纷伸出援手。下列与该案例体现的教师职业道德功能相符的是（）,其身正，不令而行；其身不正，虽令不从,师道立则善人多；善人多则朝廷正而天下治矣,安其学而亲其师，乐其友而信其道,师严然后道尊，道尊然后民知敬学,A
201,刚休完产假张老师回学校上班了，但请的保姆还未到位，这段时间既要看孩子，又要上班，经常两头顾不上，身心疲惫。张老师需要调适的角色内心冲突是（）,角色责任与自我价值实现引发的心理冲突,角色环境与社会环境引发的心理冲突,不同角色责任引发的行为冲突,不同角色期望引发的行为冲突,C
202,地球千姿百态的地貌都是地质作用的结果，地质作用按其能量来源可分为内力作用和外力作用，下列属于外力作用导致的是（）,褶皱,沙漠,火山,断层,B
203,公元79年，古罗马帝国的庞贝城毁于一场火山爆发，由于火山灰掩埋，街道房屋保存比较完整，对其遗址的考古挖掘，为研究古罗马社会生活和文化提供了重要资料。该火山是（）,皮纳图博火山,圣海伦斯火山,维西威火山,埃特纳火山,C
204,第一次工业革命中蒸汽机出现，带动了一系列的发明，人们利用蒸汽机在各领域改进生产，提高效率，下列（）设计并制造了世界上第一台蒸汽机车。,瓦特,富尔顿,惠特尼,斯蒂芬森,D
205,公元7世纪后期，晋国和楚国进行了一场战役，晋军大败楚国，从此奠定了晋文公的“霸主”地位，这场战役是（）,城濮之战,桂陵之战,马陵之战,长平之战,A
206,《丧钟为谁而鸣》是美国作家海明威的小说，这部小说是以一场内战为历史背景的，这场战争是（）,西班牙内战,墨西哥内战,美国南北战争,美国玫瑰战争,A
207,下列京剧折子戏不是出自《三国演义》的是（）,《失空斩》,《定军山》,《宇宙峰》,《长坂坡》,C
208,下列人物，属于奥地利作曲家的是（）,舒曼,海顿,贝多芬,李斯特,B
