index,content,image,A,B,C,D,ans
1,按照给出图形的特点，下列选项中，填入空格处最恰当的是()。,1,A,B,C,D,D
2,天气图形符号是公共气象服务中传递阴晴雨雪风雷等气象信息的基本方式之一，在各类新闻媒体上广泛使用。下列天气图形符号中，表示“沙尘暴”的是（）。,2,A,B,C,D,C
3,下列安全意识中表示“当心触电”的是,3,A,B,C,D,A
4,下表是100名同学不同试卷的难度和区分度的统计，下列选项说法不正确的是()。,4,甲难度适中，区分度低,乙难度低，区分度低,丙难度低，区分度低,丁难度低，区分度低,C
5,下列为某校的学生成绩，如使用Excel进行统计，与其他学校比较某科目平均分、方差及高分段人数。下列选项中，不需要的公式是()。,5,=COUNTIFS,=SUM,=AVERAGE,=VAR,B
6,右边这幅画的作者自称自号“梅花屋主”，以画墨梅闻名，这位画家是（）。,6,阎立本,王冕,文徵明,石涛,B
7,在Excel中，如果B2单元格的内容为数值15，B3单元格的内容为数值10（如下图），则B4单元格中公式“=$B$2+B3*2”的值为（  ）。,7,5,25,35,40,C
8,如图所示，在excel中单击单元格一二欲求出甲班20名学生成绩的中位数。应输入的公式是?,8,SUM(A1:D1),MEDIAN(A1:D1),MODE(A1:D1),AVERAGE(A1:D1),B
9,阅读某教师《岳阳楼记》的作业设计，按照要求答题。对下图作业设计的相关分析，正确的是（）。,9,作业目标指向理解古人寄托于山水名胜中的情怀,作业设计关注了文言词语的积累及文言语感的培养,作业设计以文言概念为出发点，以文言知识为落脚点,由于学生无法完成必做作业，教师又设计了选做作业,B
10,图中所示的乐器是（）。,10,编钟,编磬,方响,柷,A
11,下列谱例出自哪个少数民族的民歌？,11,布依族,哈萨克族,蒙古族,朝鲜族,B
12,下列谱例出自哪部芭蕾舞作品？,12,《天鹅湖》,《葛蓓莉亚》,《睡美人》,《胡桃夹子》,A
13,下列哪种乐器经常在巴洛克时期的器乐作品中演奏通奏低音？,13,A,B,C,D,D
14,下面谱例出自贝多芬的作品，这首作品属于哪种舞曲？,14,回旋曲,小夜曲,萨拉曼德,小步舞曲,D
15,下面谱例中的音乐体现了哪种舞曲的节奏特点？,15,玛祖卡,波尔卡,圆舞曲,塔兰泰拉,C
16,下列哪个选项是拉丁美洲音乐中常见的代表乐器？,16,A,B,C,D,C
17,下面谱例中的音乐旋律体现了哪种调式的特点？,17,五声调式,小调式,大调式,中古调式,A
18,下面谱例中的音乐旋律体现了哪种调式的特点？,18,模进,模仿,倒影,逆行,A
19,下列哪种乐器具有固定音高？,19,A,B,C,D,B
20,如图，宋代《白瓷孩儿枕》由哪个名窑烧制？,20,汝窑,定窑,官窑,钧窑,B
21,如图，“三百石印富翁”印章的作者是？,21,吴昌硕,张大千,齐白石,李可染,C
22,如图，世界文化遗产吴哥窟位于？,22,尼泊尔,印度,柬埔寨,日本,C
23,如图，现代雕塑作品《斜倚的人体》的作者是？,23,奥古斯都·罗丹,贝尼尼,马约尔,亨利·摩尔,D
24,如图，该建筑是著名建筑大师贝聿铭为某地设计的富有创意、地域特色浓郁的博物馆，其灵感来源于下列选项中的哪种建筑样式？,24,西藏民居,徽州民居,苏州民居,北京民居,C
25,如图，有关该作品描述不正确的是？,25,《自由引导人民》是德拉克洛瓦名作，现藏于法国巴黎卢浮宫,作品动感强烈，主体突出，是浪漫主义的代表作品,以法国民众抗争为题材，以希腊女神为象征，引导民众前进,作品色彩对比强烈，造型严谨，展现了古典主义绘画的特点,D
26,如图，谚语“十斤狮子九斤头，一斤尾巴掉后头”。这说明民间美术中表现狮子的常用手法是？,26,变形与夸张,写实与表现,抽象与提取,还原与写生,A
27,如图，该教学过程体现的教学行为是？,27,分析作品的创作过程,了解民间工艺过程,示范浮雕的制作过程,展示泥塑创作过程,C
28,甲、乙、丙三位学生参加期末测试，成绩如下表，学生成绩方差最大的是（）。,28,语文,数学,英语,政治,B
29,红火蚁（如图）是最具危险性的入侵物种之一，红火蚁群体中有工蚁、兵蚁和生殖蚁，红火蚁繁殖力强，春夏雨水较多，是其繁殖的高峰期。下列叙述正确的是（）。,29,红火蚁具有社群行为的基本特征,红火蚁属于无脊椎动物中的环节动物,红火蚁繁殖力强缘自缺乏天敌的制约,影响红火蚁繁殖的主要环境因素为温度,A
30,如图为某品牌风味发酵乳产品外包装上的营养成分信息，该产品脂肪含量比普通酸奶高得多（普通酸奶不超过3%），碳水化合物（糖类）含量比普通酸奶低得多（普通酸奶通常在10%~15%之间）。下列叙述正确的是（）。,30,发酵乳含有的脂肪成分为不饱和脂肪酸,白砂糖是该产品的全部碳水化合物来源,发酵乳是通过乳酸菌进行发酵而形成的,蛋白质在发酵中完成肽链的卷曲、折叠,C
31,下表列出了某健康人的血浆、原尿、尿液中的主要成分及其含量。根据数据判断，甲、乙、丙、丁四种物质中代表尿酸的是（）。,31,甲,乙,丙,丁,C
32,家族性支气管扩张症是一种常染色体隐性遗传病。图3为某家族有关该病的遗传系谱图，假设该病由基因A、a控制，推测基因型一定为Aa的是（）。,32,1,5,7,10,C
33,表中中国农业总产值和农村居民人均可支配收入变化的主要原因是（）。,33,完成了土地改革,实行了农业合作化,开展了人民公社化运动,进行了农村经济体制改革,D
34,下图展示了《世界历史》九年级某单元各课的题目，据此推测，该单元的主题是（）。,34,两极格局的形成,经济全球化的发展,二战前后世界的变化,走向和平发展的世界,D
35,某初中物理课本中展示了如图所示的内容，该内容最适合帮助学生学习的物理知识是（）。,35,功,功率,速度,位移,B
36,如图为a，b两材料的m-V关系图像，若分别用a，b制成两个实心长方体甲和乙，则下列说法正确的是（）。,36,将物体甲放入水中，甲一定漂浮在水面,将物体乙放入水中，乙一定沉入水底,将体积相等的甲、乙两物体捆在一起放入水中，它们一定漂浮在水面,将质量相等的甲、乙两物体捆在一起放入水中，它们一定漂浮在水面,D
37,如图所示，OO’是半圆柱形玻璃体的对称面和纸面的交线，A、B是关于OO’轴等距且平行的两束不同单色细光束，从玻璃射出后相较于OO’方的P点，由此可以得出的结论为（）。,37,玻璃对A光的折射率比对B的小,玻璃中A光的传播速度比B光的小,在空气中，A光的波长比B光的长,单个A光的光子能量比B光的小,B
38,2021年全国“两会”前期，新华社首次推出异地同屏系列访谈，让身在异地的代表与记者跨越时空来“相见”，甚至远隔千里也可以让采访对象与记者“面对面”交流，如下图所示，此例子中使用到最主要的技术是（）。,38,物联网,大数据,人工智能,全息成像技术,D
39,小刚设计的“机器人走棋盘”算法，算法流程图如下图（a）所示，机器人在下图（b）中棋盘的“A”位置出发，沿箭头方向行走，执行完算法后将到达的位置是（）。,39,①位置,②位置,③位置,④位置,B
40,某班学生选修课统计结果的部分Excel表如下图所示，在B10单元格内使用图中公式计算结果，若将该公式向右填充，则E10单元格结果为（）。,40,1,2,7,38,A
41,使用GoldWave软件打开某音频文件，选中其中一段音频后的操作界面如下图所示。下列说法正确的是（）。,41,单击“删除”按钮后，音频的采样频率变小,单击“剪裁”按钮后，音频的时长变为2秒,执行“更改音量”命令将音量降低后，音频的量化位数不变,执行“静音”命令后保存，音频文件大小变为原来的2,C
42,关系R和S中的关系如下图所示，R中的属性A是主码，属性B是外码，S中的属性B是主码。如果要在S中删除一个元组，在不考虑级联删除和空值删除的前提下，可以删除的元组是（）。,42,A,B,C,D,D
43,使用Photoshop软件制作“惜时”作品，部分界面如下图所示，下列说法正确的是（）。,43,“惜时”图层使用了滤镜效果,当前状态下，“背景”图层中的图像内容可以进行修改,“时钟”图层已经设置了图层样式，可以再使用滤镜效果,当前状态下，“人物”图层与“时钟”图层交换后，“人物”图层中的图像内容将可见,C
44,下图为经纬网示意图，①②③④四地中经纬度坐标相同的是（）。,44,①③,①④,②③,②④,B
45,下面图形组合的变化呈现出一定的规律性。下列选项中，最适合填在问号处的是（）,45,A,B,C,D,C
46,下图为某地地层剖面示意图，图中断层的类型是（）。,46,逆断层,正断层,旋转断层,平移断层,B
47,下图为某地地层剖面示意图，下列N处的岩石类型的推测，正确的是（）。,46,变质岩,喷出岩,沉积岩,侵入岩,D
48,下图为某山地不同海拔，不同坡向森林植被分布百分比图。该山地森林植被集中分布的海拔范围可能是（）。,48,1800m~1900m,1900m~2000m,2000m~2100m,2100m~2200m,A
49,下图为某山地不同海拔，不同坡向森林植被分布百分比图。该山地植被集中分布的高度原因可能是（）。①喜光②喜湿③耐旱④喜阴,48,①②,①③,②④,③④,C
50,下图为某国甲、乙、丙、丁四个时期人口变化状况示意图。该图中死亡率最低时期是（）。,50,甲,乙,丙,丁,D
51,下图为某国甲、乙、丙、丁四个时期人口变化状况示意图。甲、乙、丙、丁四个时期，人口增长模式属于现代型的是（）。,50,甲,乙,丙,丁,C
52,兰渝铁路是我国一条南北向铁路大干线。下图为兰渝铁路示意图。兰渝铁路施工过程中遇到最大阻碍是（）。,52,降水丰富，水灾频发,高寒地区，冻土广布,戈壁广布，风沙严重,崇山峻岭，地形复杂,D
53,兰渝铁路是我国一条南北向铁路大干线。下图为兰渝铁路示意图。沿兰渝铁路，从兰州到重庆的温度带是（）。,52,暖温带→北亚热带→中亚热带,中温带→暖温带→北亚热带,北亚热带→中亚热带→南亚热带,中亚热带→南亚热带→北热带,A
54,下图为局部地区海陆示意图，E点以西为大西洋，N点以东为海洋，F-M为印度洋，E-F，M-N为陆地。图中E处自然带会向低纬延伸，形成这一现象的主要原因是（）。,54,地形,洋流,热量,水源,B
55,下图为局部地区海陆示意图，E点以西为大西洋，N点以东为海洋，F-M为印度洋，E-F，M-N为陆地。下列关于图中在M-N的国家叙述，正确的是（）。,54,畜牧业发达，主要以肉牛养殖为主,经济欠发达，主要以石油出口为主,种植业发达，主要种植水稻和棉花,人口总量少，集中分布于东南沿海,D
56,下列各组离子或分子在溶液中能大量共存，且满足相应要求的是（）。,56,A,B,C,D,C
57,1869年，俄国化学家门捷列夫把当时已知元素根据物理性质和化学性质进行了排列，并预测了两种未知元素的相对原子质量和位置，得到了原始的元素周期表，其部分内容如图所示。下列说法错误的是（）。,57,元素甲的单质熔点较低,元素乙的原子序数为32,原子半径大小比较：乙>甲>Si,元素乙位于现行元素周期表第四周期第IVA族,C
58,孔雀石绿可用作燃料和杀菌剂，具有较高的毒性，其结构简式如图所示。下列关于孔雀石绿的说法，正确的是（）。,58,孔雀石绿属于芳香烃,孔雀石绿有毒是因为其含有大量重金属,孔雀石绿所有苯环上的一氯取代物共有5种,1mol孔雀石绿最多可以和6mol氢气分子发生加成反应,C
59,利用如图所示装置制取表中的四种气体（图中夹持仪器已略去，a、b、c表示相应仪器中加入的试剂），能达到实验目的的是（）。,59,A,B,C,D,B
60,如下图Excel数据表所示，可计算出各项目平均人数的函数是()。,60,MAX,RANK,COUNT,AVERAGE,D
61,根据所给图形的逻辑特点，下列选项中，填入空白处最恰当的是()。,61,A,B,C,D,B
62,安全标志是人类特定的安全信息。下列安全标志中，表示“当心夹手”的是？,62,A,B,C,D,B
63,在教学的学业测试中，老师们常用Excel来统计学生各科的平均成绩。图中，在B5处输入“=AVERAGE(B2:B4)”，如果直接复制粘贴到D5处，则下列数值显示正确的是(),63,93,662,30,0,A
64,"在Excel中，用鼠标点击工作簿中的""Sheet1""标签，不能实现的功能是()",64,插入一个工作表,删除一个工作表,重命名一个工作表,打印一个工作表,D
65,漫画《顾上不顾下》给我们的哲学启示是（）。,65,善于掌握矛盾的特殊性,要善于分析矛盾的主要方面,要坚持用全面的观点看问题,矛盾的特殊性寓于普遍性之中,C
66,如图，古代版画作品《水浒叶子》的绘制者是（）。,66,任伯年,陈洪绶,李公麟,吴道子,B
67,如图，这件作品所属的艺术流派是（）。,67,超现实主义,印象主义,未来主义,立体主义,A
68,如图，雕塑作品《国王与王后》的作者是（）。,68,阿尔伯特·贾科梅蒂,康斯坦丁·布朗库西,亨利·摩尔,亚历山大·考尔德,C
69,下列谱例子呈现的是古典主义时期的歌剧选段，该作品的作曲家与作品所属的歌剧类型对应正确的是（）。,69,莫扎特——意大利喜歌剧,罗西尼——意大利喜歌剧,莫扎特——德国歌唱剧,罗西尼——法国大歌剧,A
70,下列作品中，由下图所示乐器进行演奏的是（）。,70,《G弦上的咏叹调》,《如歌的行板》,《G大调小步舞曲》,《引子与随想回旋曲》,B
71,下列两行旋律之间的关系是（）。,71,原型和倒影,主题和模仿,主题和模进,原型和逆行,D
72,一个时长为30秒，800×600像素，16位色，25帧/秒的未经压缩的AVI格式无声视频文件，使用视频编辑软件进行压缩后，其部分配置属性如下图所示，则其压缩比约为（）。,72,6:1,80:1,160:1,1250:1,C
73,某地考试规定，考试成绩不低于75分为合格，下图是根据成绩判断是否合格的部分流程图，如果输入的成绩为70，则该流程的执行顺序为（）。,73,①→②→③,①→②→④,①→②→③→④,①→②→④→③,A
74,某二叉树结构如下图所示，中序遍历的结果是（）。,74,ABDFGCEHI,BFDGACHEI,FGDBHIECA,ABCDEFGHI,B
75,有五个相互可直达且距离已知的学校A、B、C、D、E，如下表所示，调研员从学校A出发，去每个学校各调研一次，最后回到学校A，请找出一条路径最短的路线（）。,75,ADEBCA,ACDEBA,ABCDEA,ADCBEA,B
76,阅读如下Python程序，正确的输出应该是（）。,76,apple banana cherry,apple cherry,apple,banana cherry,B
77,按照图形给出的逻辑特点，下列选项中，填入空格的应该是()。,77,A,B,C,D,B
78,许多以现实生活为题材创作的美术作品，富有感人的艺术魅力。右图这座著名雕塑是老一辈革命者不屈不挠的奋斗精神和革命乐观主义精神的真实写照，其名称是,78,天伦之乐,艰苦岁月,畅想未来,音乐之魂,B
79,张志刚总成绩的函数是（）。,79,SUM,RANK,COUNT,AVERAGE,A
80,按照图形给出的逻辑特点，下列选项中，填入空格的应该是()。,80,A,B,C,D,D
81,图中，该学校的做法()。,81,合法，有利于家长督促孩子学习,合法，学校有接受助学捐款的权利,不合法，学校不得收取任何保证金,不合法，学校不能只收差生的保证金,C
82,按照给出图形的逻辑特点，下列选项中，填入空白处最恰当的是()。,82,A,B,C,D,A
83,在word中，需完成如图2所示“插入表格”功能，下列选项中，表述正确的是()。,83,可以选择需要的行数和列数,只能使用表格设定的默认值,只能选择行数,只能选择列数,A
84,下图是丰子恺的漫画《某种教师》。该教师的做法（）。,84,正确，维护了知识的权威性,正确，保障了教学的科学性,不正确，违背了勤恳执教的师德要求,不正确，违背了探索创新的师德要求,D
85,1979年，为纪念某位德国化学家诞辰150周年，发行了邮票（下图），该化学家提出了苯的分子结构理论。这位化学家是（）。,85,凯库勒,拉瓦锡,法拉第,诺贝尔,A
86,下图由三个扇形和三条折线组成，但是人们会把它知觉为两个三角形和三个圆形。其反映的知觉特性是（）,86,整体性,选择性,稳定性,恒常性,A
87,下图描绘的是中国古代的一项娱乐活动，这项活动通常认为在先秦就已出现，到了宋代尤为兴盛。该活动的名称是（）,87,步打,蹴鞠,跳丸,角抵,B
88,对下图中教师行为的评价，正确的是（）,88,注重教育公平,注重有教无类,忽视学生的全面发展,忽视学生的个性发展,D
89,“高贵的单纯和静穆的伟大”是艺术史家温克尔古希腊雕塑曼对古希腊艺术——特别是古希腊雕塑艺术的评价。下列选项中，不属于古希腊雕塑的是（）,89,A,B,C,D,D
90,将选项中的图形填入下面空格中，最符合各自中另外三个图形的一致性规律的是（）,90,A,B,C,D,C
91,关于下图中教师做法，描述正确的是（）,91,注重扬长避短,注重因材施教,未能把握正确的评价标准,未能尊重学生主体性,C
92,用来记数的符号叫“数字”，世界各大文明都曾创造过“数字”，有的现代已不再使用，有的只用于特定的场合。下图钟表盘面上表示时间的数字，使用的是（）,92,希腊数字,罗马数字,阿拉伯数字,巴比伦数字,B
93,按照给出图形的逻辑特点，下列选项中，填入空白处最恰当的是（）,93,A,B,C,D,D
94,隐蔽图形测验中，要求被试在较复杂的图形中（见图1中的右图）把隐蔽在其中的简单图形分离出来（见图1中的左图）。有些被试能排除背景因素的干扰，从复杂图形中迅速、容易地分离出（知觉到）指定的简单图形。这些被试的认知方式为（）,94,整体型,序列型,场独立型,场依存型,C
95,下图为2005年正式公布的中国文化遗产标志，标志图案取自出土文物“四鸟绕日”金饰，该金饰被视为中国先民“天人合一”的哲学思想、丰富的想象力、非凡的艺术创造力和精湛的工艺水平的完美结合。它出土的地点是（）,95,陕西半坡遗址,四川金沙三星堆遗址,河南安阳殷墟,湖南长沙马王堆汉墓,B
96,汉画像石是汉代的石刻画，主要用于墓室、墓前祠堂、石阙等墓葬建筑的建造与装饰，内容丰富多彩。图2是以汉画像石为图案的纪念邮票，该图案表现的神话故事是（）,96,女娲补天,精卫填海,嫦娥奔月,羲和浴日,C
97,图1表明，儿童的发展具有（）,97,阶段性,整体性,个体差异性,独特性,A
98,下图是《鲁迅小说插图集》中的一幅，与这一插图相关的小说是（）,98,《故乡》,《社戏》,《孔乙已》,《祝福》,C
99,甲乙两地各抽取100名初中一年级的学生进行了体重测量，相关的统计结果见下表。下列选项中，对这次测量结果的解释，最恰当的是（）,99,甲地的标准差为11，甲地学生的体重更具有代表性,乙地的标准差为13，乙地学生的体重更具有代表性,甲地的标准差系数为0.295，甲地学生的体重更具有代表性,乙地的标准差系数为0.340，乙地学生的体重更具有代表性,C
100,下图教师行为体现的是（）,100,评价标准多元化,评价标准单一化,评价方法复杂化,评价方式多样化,B
