index,content,ans
89,"简答题。简述中学教师布置作业的基本要求。","作业布置的基本要求:
1、作业内容要符合新课标和教材的要求，有助于学生掌握基础知识和基本技能，有助于学生智力的开发和能力的提高。
2、教师要向学生提出明确的作业要求，规定完成的时间，必要时要向学生做示范性指导。
3、在设置作业时，要考虑到学生学习水平的层次和差异性。针对学生的不同基础，设计一些有弹性、有层次性的作业，或布置作业时，分成必做题和选做题，以适应不同层次学生的要求，即让优秀学生吃得饱中等生吃得好，又要让后进生吃得了，使每个学生都能在完成作业中得到发展。
4、教师要及时批改、评价、反馈学生的作业。
5、作业份量要适当、难易适度;合理布置作业要把握好质与量的关系。质是精华,量是多少。在作业布置中,题目要精,要适当。"
90,"简答题。简述中学生情绪情感的特点。","中学生的情绪特点主要表现在以下几个方面:
(1)爆发性和冲动性。青少年学生一旦激起某种性质的情感，情绪会猛烈爆发出来,表现出强烈的激情特征，情绪情感冲破理智的意识控制，淋漓尽致地显露出他们对外界事物的爱、恨、不满或恐惧、绝望等情绪。
(2)不稳定性和两极性。少年学生情绪虽然强烈，但波动剧烈，两极性明显,很不稳定,情绪容易从一个极端剧烈地转向另一个极端，他们对事物的看法较片面，很容易产生偏激反应。
(3)外露性和内隐性。青少年学生逐渐学会控制自己的情感表现和行为反应。他们既表现出强烈的情绪情感的反应，对外界事物的喜怒哀乐喜形于色，淋漓尽致地抒发他们的内心感受;又能逐渐掩饰、压抑自己的情绪,使这种情绪的表露带有很大的掩饰性，并逐渐学会用理智控制自己的情绪反应。
(4)心境化和持久性。一方面青少年会因为成功或收获而使快乐情绪体验延长，表现为积极良好的心境;另一方面因挫折或失败会使不愉快的消极情绪延长，表现为不良的心境，青少年的许多不良情绪往往具有情绪心境化色彩。"
91,"简答题。简述人格的特点。","人格有以下特征:(1)人格的整体性。人具有多种心理成分和特质,如能力、气质、性格、意志才智、情绪、愿望、价值观和习惯等,它们并不是孤立存在的，而是密切联系并整合成为一个有机整体。(2)人格的稳定性。人格的稳定性是指个体的人格特征具有跨时间和空间的一致性。(3)人格的独特性。人格的独特性是指人与人之间的心理和行为是各不相同的。人们在人格上的独特性或差异性就是我们通常所说的“个性”。(4)人格的社会性。人格是个体在社会化过程中形成的，是社会人特有的。不同社会的政治、经济、文化对个体有不同的影响，使人格带有明显的社会性。"
92,"简答题。简述高校学生的基本社会特征。","高校学生的基本社会特征主要表现在以下几个方面：
（1）感受时代精神的敏锐性
感受时代精神的敏锐性是指大学生比成年人和其他青年群体，对时代精神的感受更为敏锐，他们比一般成人更容易体察到时代的变化，能够较快地同时代精神产生共鸣。
（2）参与社会活动的积极性
参与社会活动的积极性是指他们总是以这样或那样的方式参与实际的社会生活，并对社会的发展变化产生一定的影响。
（3）群体成员的互动性
群体成员的互动性是指大学生群体与群体、成员与成员之间互相影响，互相促动，形成一种比较统一的群体行为。
（4）内部结构层次的复杂性
内部结构层次的复杂性包括新、老生之间，不同学科专业的学生之间，来自不同地区学生之间，不同家庭背景学生之间，心理上存在着一定的差异。"
93,"简答题。简述高校教师的社会地位和作用。","高等学校的教师是高等学校的教育者，他们既是某一学科的专家，又是教育教学工作的承担者。因此，高校教师有其特定的社会地位，发挥着特殊的社会作用。
（1）高校教师的社会地位主要体现在以下几个方面：
①高校教师的社会功能。职业的社会功能是指一定的职业对于社会的作用，某一职业的社会作用越大，其职业的社会地位也就越高。高校教师肩负着为祖国、社会培养高级专门人才的重任，在社会上享有崇高的社会地位。
②高校教师的经济待遇，经济待遇是指社会给予某一职业从业人员的物质报酬，包括工资及福利，一般来说，某一职业的经济待遇水平由该职业的劳动性质和劳动形式决定，教师职业是一种专门的职业，教师劳动属于复杂劳动，因此，教师的劳动具有较高的价值。
③高校教师的权利，职业的社会权利是指某一职业的从业人员在履行职责时所享受的各项权利，职业从业人员享有的社会权利的范围、程度与该职业社会地位的高低密切相关。
④高校教师的专业化程度，教师职业作为专门职业，对从业人员各个方面都有很高的要求。
（2）高校教师的作用主要体现为以下两个方面：
①高校教师通过继承、传播、发展和创造人类科学技术、文化知识，来培养各类高级专门人才，促进社会经济文化的发展。
②高校教师通过社会服务，直接推动社会物质文明和精神文明的建设。高校教师利用自身丰富的知识和科研优势，参与国家和地方的科研项目，为社会提供科技服务，制造科研产品，直接参与社会物质财富的生产、创造；通过社会活动，传播精神文明成果，促进社会精神文明的发展。"
94,"简答题。简述高等学校教师的任务。","高等学校的基本职能一般有三种：培养人才、发展科学、为社会服务，高等学校要完成这三种职能，主要通过教师的工作来实现。因此，高校教师的任务主要有以下几方面：
（1）教书育人
每个教师都应积极承担教学工作，认真搞好教学，努力提高教学质量，完成教书育人的任务。高校教师要根据专业设置、培养目标的要求，并遵循大学生身心发展的规律，认真钻研教材，精心组织教学，在传授知识、发展学生智能的同时，还要对学生进行思想品德教育，帮助、引导学生树立正确的人生观和价值观，以培养出全面发展的、高素质的社会主义建设人才。
（2）科学研究
高校教师要通过科学研究，不断提高自己的学术水平，掌握科学研究的规律和治学的方法，从而丰富、更新教学内容，有效地指导学生从事科学研究工作，培养学生的科研能力。同时，教师通过科学研究，可以站在本专业领域的前沿，使自己的研究成果在本学科处于领先地位，从而促进学科发展和专业的改造。因此，高校教师必须把教学与科研更加紧密地结合起来，互相促进、相得益彰，把科学研究当作自己应有的职责。
（3）为社会服务高等学校的现代化和开放性，使得它与社会经济发展、科技进步有着越来越密切的联系。教育尤其是高等教育作为一项产业，应该充分发挥对社会的服务功能。高校教师应该利用自身的丰富知识和科研优势，通过学术报告、科技咨询、培训人才等多种形式为社会服务，创造物质财富和精神财富。在为社会服务的过程中，教师又可以更深入地了解社会对人才培养的要求，了解对高校科研方向的需求，更好地提高教学和科研水平。"
95,"论述题。对高校教师的基本要求有哪些？","在高等教育不断发展的今天，学科之间不断交叉融合，课程内容日益复杂，教学技术手段不断更新，教育的对象不断变化，对象的层次不断扩大。这一系列变化都对高校教师提出了更高的要求，具体包括以下几点：
（1）要有正确的政治方向，忠诚于社会主义教育事业
高校教师必须热爱祖国，热爱党，热爱社会主义，拥护党的基本路线，坚持四项基本原则。树立科学的世界观和方法论，在教学过程中能自觉运用马列主义的立场、观点、方法分析问题和解决问题，引导学生正确认识世界。要忠诚、热爱教育事业，不论遇到什么困难，始终站在教育第一线，全面贯彻党的教育方针，为办好高等教育贡献力量。
（2）要热爱学生，遵循学生身心发展规律培养人才
高校教师面对的学生来源不同、层次不同，这就是要求教师要遵循学生身心发展的规律对学生施加影响，诲人不倦，为人师表。再向学生传授知识的同时，更要注意用热情、友爱的情感感染学生，关心学生，对学生进行全面的指导。
（3）要具有渊博的知识面，精通自己所教的专业或学科
在信息时代的今天，知识的膨胀、信息的充斥、网络的普及对高校教师所应具备的知识深度和广度都提出了更高的要求。教师除了具有广博的文化素质外，还必须精通自己教的学科和专业具有更扎实、更系统、更完整、更高深的专业基础和专业基础知识，并结合科研及时了解本专业的新成果和发展趋势，以适应变化的时代。此外，高校的教师还应该了解相关学科的知识，现代科学的整体性、参透性越来越强，知识的综合性越来越显著，许多学科出现了“你中有我、我中有你的趋势”，作为高等学校的教师，更应该做到基础知识“厚”、专业知识面“宽”。
（4）要具有教育教学能力、科研能力和创性能力高校教师的教育教学能力要求教师在教学内容、教学方法、教学手段上不断更新，因材施教，充分发挥学生的主观能动性，培养学生分析问题、解决问题的能力。教师的科研能力是提高教学水平、深化科学理论知识的重要保障。科研是源，教学是流，有了“源”才有不息的“流”，只有从科研中不断探索学习，才能有利于教学内容的更新，保持对学术发展的敏锐性，保证教育教学质量的提高。教师的创新能力要求教师必须善于捕捉信息，善于分析、观察、综合、反思，要具有科学的怀疑精神和标新立异、打破常规的创造能力。"
96,"简答题。简述高校学生身心发展的特征。","高校学生在身心发展上都开始走向成熟，已全面接近或达到成年人的水平，主要表现在生理层面和心理层面上，具体分析如下：
（1）高校学生的生理发展特征
中国普通高校的大学生年龄一般在17—22岁之间，处于人体生长发育的“第二生长高峰期”的后期，已全面接近或达到成年人的水平，人体器官的功能已趋于完善和成熟，进入相对稳定期。高校学生生理发展的特征表现在：
①生长发育的身体各项指标增长趋于缓慢，已接近或达到成人水平，运动能力显著增强；
②高校学生内分泌腺的发育达到稳定和成熟，生殖系统逐渐达到成熟；
③高校学生的神经系统已接近成人水平，这一时期的青年表现为善于分析和综合观察事物，能够坚持较长时间的脑力活动。
（2）高等学生的心理发展特征
①高校学生认识活动的发展特征
②高校学生的情感发展特征
③高校学生的自我意识发展特征
④高校学生个性倾向性的发展特征
⑤高校学生个性心理的发展特征：气质和性格逐渐完善和稳定下来，具有相对稳定的态度和行为习惯，具备良好的意志品质和理智情感特征。但要注意气质和性格中的消极因素，预防各种心理疾病的产生。"
97,"论述题。高校师生关系的主要表现形式有哪些？","教师和学生是高校教育和教学活动过程中的两个主要角色，也是整个高校内部活动中的两个基本构成要素，因此，师生关系至关重要。其主要表现形式有：
（1）社会学意义上的高校师生间关系
社会学意义上的高校师生间关系主要表现为高校师生在教育教学过程中，为共同完成教育教学任务而建立的一种工作关系和组织关系。这一关系是由高等教育的客观条件所决定的，高校教师和学生各自的身份、任务、职责，注定了两者在教育教学活动中必然会形成一种工作关系。高校师生间良好的工作关系表现为：课堂不再是由教师一统天下，师生间可围绕一个共同的主题畅所欲言，在教师充分发挥导向作用的同时，学生也是课堂的主人，每个人都有权利和机会发表自己的意见，也都有义务尊重他人的发言，维护正常的教学秩序；师生间是一种双向的沟通关系，沟通的双方都必须关注对方的信息和对方的反应；师生的认识不再是如出一辙，对于不同的观点，师生都可以做出自己的选择。
（2）心理学意义上的高校师生间关系
心理学意义上的高校师生间关系主要包括高校师生间的认知关系、高校师生间的情感关系等。其中，高校师生间良好的情感关系主要表现为：教师经常主动地接近学生，学生也愿意自动地亲近教师；教师真诚对待学生，学生愿意向教师打开心扉；在面临矛盾和困难时，学生会主动向教师寻求帮助。
（3）伦理学意义上的高校师生间关系伦理学意义上的高校师生间关系是指在教育过程中双方都应履行自己道德义务的关系，这种关系是靠责任感、义务感来维持巩固的。"
98,"论述题。什么是学制？学制建立的依据有哪些？","（1）学制的概念
学制是指一个国家的各级各类学校的系统，它包括：有哪些种类学校，这些学校由谁来主办和管理，学校的性质和任务是什么，实际的入学条件、修业年限以及各级各类学校的关系如何等等。高等学校的学制即指各类各层次高等学校的系统
（2）学制建立的基本依据
①学制的建立受制于一定社会的生产力和科学技术的发展水平。近代以来，随着生产力的快速发展，特别是科学技术在生产中的广泛应用，资本主义大工业生产方式开始出现，它不仅要求拥有大量具有一定文化水平的工人，而且还急需一批拥有各种专门科学知识的技术人才和管理人才，这就客观上推动了教育的发展。至此，在一些欧洲国家如德国、法国等，一个贯穿初、中、高等教育的完整体系率先形成，随后开始在世界范围内得到传播，在几乎所有现代国家都建立了现代学制系统
②学制的建立要受社会政治制度的制约。学制作为学校教育的基本制度，它规定着各级教育机构应该向什么人撇开大门，各级各类学校在教育内容上如何衔接，各级各类学校办学方向是否保持一致等，所以它深刻地反映了社会中占统治地位的阶级的意志。
③学制的建立要适应教育者的年龄特征和发展水平。受教育者的身心发展特征是确定各级各类学校分段以及学生入学年龄、修业年限的基本依据，它体现了统一性的原则。在目前世界各国，尽管学制基本稳定，但围绕着关于学制中如何更合理地划分阶段，各阶段的修业年限如何确定等问题，还在不断进行探索和尝试。"
99,"简答题。简述世界各国几种常见的招生制度。","招生制度是一个国家高等教育制度的重要组成部分，它规定着不同层次、不同类别的高等学校在人选拔中所拥有的权限、人才选拔的标准，形式和范围等。各国常见的招生制度主要有以下几个类型：（1）统一的入学考试形式
统一的入学考试形式是由国家或者地方政府，或者是社会中的考试机构，对整个国家或局部区域的考生，进行统一的考试，并把考试成绩作为高校录取学生的基本参照依据的考试方式。实行统一的考试制度，根本目的在于保证不同的高等学校学生入学水准的相对统一性，实行择优录取。它的前提条件是现有教育资源不足以满足全部申请入学者的需要，而通过统一考试则起到一个有效而合理的筛选作用。统一考试的组织者既可以是国家和地方教育主管部门，也可以是社会中的民间组织。在亚洲地区，实行统一的考试来录取新生的作法被普遍采用。中国的台湾地区，目前仍实行大学联考制度。在东南亚的泰国和菲律宾等国家也都实行全国统一的招生考试制度。
（2）由高校单独组织入学考试的形式
这种招生制度由高校自主决定考试方式、自己命题、自主录取新生。一些实行大众化高等教育的国家，为保证部分顶尖大学的学术水平，以体现大众化高等教育中的精英教育特征，允许一些高校依旧采取竞争性的严格选拔的单独考试制度。
（3）统一考试和单独考试相结合的形式
这种招生制度是在相对统一的考试基础之上，高校或高校内部具体教学单位再根据自己的价值取向和要求，举办一次笔试或面试，并将两者结合起来评价学生学业水平的考试方式。实行统一考试与大学的单独考试相结合，其根本目的在于更准确地把握考生的详细情况，避免一考定终身的弊病。实行该形式招生制度的国家主要是日本的国立、公立大学。同时，在许多国家高校的招生制度中也采取了推荐入学的方式，为具有卓越才华和在某一方面有特殊才能的学生提供特殊的机会。"
100,"论述题。高校教师岗位设置应遵循哪些原则？","高校教师岗位设置应遵循以下四个原则：
（1）系统原则
在考虑一个岗位的设置是否合理时，应把这个岗位放在整个教师队伍的全局之中，从总体上分析它在系统中的作用。
（2）整体效应原则
每一岗位的设置，都要以教师队伍的整体工作目标为中心，并且所有岗位彼此间要保证能有效合作，以保证实现工作目标和任务。
（3）最低岗位数量原则
用最小的投入获得最大效益，岗位的数量应限制在能够有效地完成工作任务所需的最低数。
（4）动态性原则
岗位的设置还要从教师队伍的整体结构，如年龄结构、职称结构、学历结构和知识结构的调整，以及学校的长远发展的角度来予以综合考虑，以保证教师队伍在发展过程中始终保持一种动态的平衡。"
101,"简答题。简述高等教育宏观管理体制的几个模式。","高等教育的宏观管理体制主要体现了一个国家在高等教育管理活动中中央和地方政府，政府和高校间职责、权力和利益关系。现今世界高等教育宏观管理体制的模式主要有以下几种：
（1）中央集权型的高等教育宏观管理体制
这种体制主要是指高等教育由国家举办，高等教育管理的权力主要集中在中央政府，中央政府通过一定的计划、法律、行政命令、拨款和监督等手段来直接调节高等教育活动的管理体制。政府和高校间表现出一种完全的上下级关系，权力集中在中央政府，高校很大程度上处于依附地位。高校的经费几乎完全由国家划拨，因此高校必须面向政府承担责任。在利益关系上国家作为社会各个利益集团的代表，统筹高等教育的宏观管理活动，履行全面的职责。欧洲大陆的一些国家如法国、意大利和瑞典等大致可归为该模式，其中以法国尤为典型。
（2）权力分散型的高等教育宏观管理体制
这种体制一般指高等教育的决策权力主要在地方政府，由地方政府来独立行使高等教育决策、立法、财政拨款等职能的管理体制。在这一体制下，地方政府一般是作为地方公立高等教育的举办者，承担着高等教育宏观管理的协调的权力，但其管理的方式一般具有宏观指导、服务和监督的性质，高等学校作为法人实体在地方政府大的政策框架之下，依法独立办学，社会的广泛参与，是分权制的一个典型特征。社会中的各种利益集团，如政府组织、学生家长群体、是业界人士，以及教育界各种团体等可通过种种途径将自己的意志参透到高等教育的决策活动中，一般来说，美国实行的是典型的权力分散管理体制
（3）集权与分权结合型的高等教育宏观管理体制这种体制主要是指由中央政府和地方政府，或政府与高等教育部门共同承担高等教育管理职能的管理体制。结合型管理体制体现了国家、地方和高校分享高等教育管理权力，各自在不同层次行使不同职能，并满足各方利益需要的宏观管理特征。由于在政治体制、文化背景特别是高等教育观念上的差异，属于该模式的不同国家的宏观管理具备不同的特征。它们的共同之处在于，中央政府一般发挥宏观指导和协调职能，并与地方政府和高校共同行使一定的决策权力。"
102,"论述题。试述高等学校的管理模式。","高等学校管理包括学术管理和行政管理。根据各国高校在两者间存在重心上的差异，其内部权力结构可大致归为以下几种类型：
（1）欧洲大陆模式
欧洲大陆模式是一种以学术权力为主，高校内部权力重心明显倾向于基层教学和研究单位，并深刻体现了学术权威影响的高校管理模式。
由于欧洲大陆国家如法国、意大利等大多实行的是中央集权制，德国则倾向于州政府管理，高校在校级层次上校长的权力很有限，其工作多为事务性，他可以就高校有关的重大问题提出建议，由校务委员会一类的机构讨论决定。在基层，讲座教授的权力很大，操纵着基层包括经费使用、人员安排等大权，中央政府或州政府一般与基层间直接发生联系。在学部和学校层次上，主要由教授组成的学部委员会、大学评议会（德国）、学部理事会、大学理事会（法国）来行使决策和协调的权力。因此在该模式中，教授和教授群体处于学校的权力中心，而行政部门几乎没有什么权威。
（2）美国模式
美国模式是一种行政权力相对强大，强调规范，实行相对严格的等级制度，下级对上级负责的高校管理模式在美国大多高校特别是研究性大学中，董事会和院校的行政官员的权力地位比较显赫，董事会多由政府官员、企业首脑、社会名流等组成，它负责制订政策，审批设备购置、财政预算，选拔和委任校长等。校长受董事会委托，全权负责学校内部具体的管理事务，包括确定学校发展目标和重点、建立或调整组织机构、筹集和分配经费、处理董事会与外界各种组织的关系等等。校长一般有一套包括多名副校长在内的助手班子协助管理，学校下属的分校、学院负责人由校长委任，他们必须向校长负责。系作为基本的教学和科研单元，由系主任主持。但系行政机构处于学校组织矩阵结构中的交叉点，系主任既要面向校长、院长负责，又要在决策上与系所有教学人员协商。
（3）英国模式
英国模式是一种行政权力和学术权力相对平衡，两者相互制约的高校管理模式。在英国传统大学中，校务委员会是形式上的最高权力机构，但在具体的管理上，主要由校外人士组成的理事会是实质性的行政权力部门，由教授组成的评议会全权负责大学的学术管理。由于校长是荣誉性职位，所以在英国副校长才是大学的首席行政和学术领袖。副校长人选是理事会和评议会协商的结果，同时又是它们中间的主要联系人。在学部和系的层次上，由各方面包括教学和非教学人员组成的学部委员会和系委员会是各自的决策机构，决策过程相对比较民主。"
103,"简答题。简述高等教育结构和功能的关系。","高等教育的结构和功能从内部联系、外部关系两方面反映了高等教育系统的特性，高等教育结构和功能的关系主要体现在以下两个方面：
（1）高等教育系统的结构和功能是对立统一、相互联系的两个方面
没有结构的功能是不存在的，反之，也不存在没有功能的结构。在实现高等教育大众化目标的过程中，各国通常借助于高等教育结构的调整。高等教育要发挥应有的功能，就应建立合理的高等教育结构体系，随外部环境的变化适时地进行结构调整。
（2）高等教育结构和功能虽联系紧密，但并不存在必然的一一对应关系
相同的功能常常可由不同的结构来实现。如在德国，职业技术教育重心在中等教育阶段，而在美国，职业技术教育的任务安排在高等教育层次，基本由社区学院来完成。中等学校教师的培养，在中国是由师范大学或学院单独完成的，但在许多国家，一些综合性大学也参与师资的培养。因此，高等教育结构也是多种因素综合作用的结果：现实的和历史的，经济的和政治、文化的。这种复杂性决定了各国的高等教育结构不可能完全一致，也决定了一国无法照搬他国的高等教育结构模式"
104,"论述题。影响高等教育结构的因素有哪些？","高等教育结构是指高等教育系统内各组成部分之间的联系方式和比例关系，影响高等教育结构的因素主要有：
（1）经济因素
经济因素主要包括生产力水平、经济发展水平（人均国民生产总值或人均国民收入）和发展速度、产业结构以及由此引起的高级人力资源的需求状况等。经济因素往往是高等教育结构形成、发展以及调整过程中的决定性要素。
（2）文化、传统因素
文化、传统因素主要包括社会文化的总体水平，由历史传统形成的民族文化特点及观念等。文化因素对高等教育结构的影响虽然不是决定性的，但却具有历史的连续性，因而其影响和意义深远。世界各国在高等教育结构上所存在的差异性往往带有各国文化传统的烙印。
（3）科学、技术因素
科学技术因素主要包括科学技术的总体发展水平与速度、科学技术系统的规模结构等。科学技术因素对高等教育影响主要体现在层次结构和科类结构上，社会科技发展越快，对更高层次特别是研究生层次的人才需要更旺盛，而现代科技发展对符合型人才的需求，又要求高等教育调整科类结构，拓宽专业口径，培养跨学科人才，增强灵活性和适应性。
（4）教育因素影响高等教育结构的教育因素主要包括教育制度、义务教育、各级普通教育及职业技术教育的规模和结构。教育因素对高等教育结构的影响主要体现在为基础教育提供师资的高等师范教育培养的层次结构、科类结构的调整上，也体现在因基础教育的发展而引起的高等教育需求扩大而要求德高等教育进行整体结构性调整上。"
105,"论述题。影响高等教育宏观结构调整的因素有哪些？","影响高等教育宏观结构调整的因素主要包括以下方面：
（1）学术的因素
由于历史的原因，中国高等教育已经基本形成少数综合性大学、师范大学和单科性院校并存的格局，各类高校也基本形成了各自的特色和学术风格，因此，在考虑综合化发展时，结构调整应慎重处理历史遗留问题。
（2）体制的因素
受传统的条块分割体制影响，目前中国高校分布格局依旧存在着许多不合理的情况。因此，深化高等教育体制的改革，合理协调中央政府、政府各部门以及地方主管部门间的关系，是今后中国高等教育结构调整的重要环节。
（3）区域发展水平的因素
由于中国各区域间经济发展极不平衡，已有的高等教育基础也存在着较大的差异。因此，中国高等教育宏观结构的调整，只能从各地实际出发，有所区别对待。"
106,"简答题。简述高等学校学科设置的影响因素。","近代科学的发展，推动了学科的分化，且分化的速度有越来越快的趋势。但并不是所有的学科都能在高等学校中得到专门的设置和发展。一个学科能否在高等学校中得到专门设置和发展，从学科自身的角度看，主要的影响因素有以下几个方面：
（1）学科发展的成熟水平
这主要涉及学科的主干知识和基本结构体系是否完整，与其他学科知识之间的兼容度等问题。一般来说，高等学校在考虑学科设置时，成熟度高的学科比较容易被接受，而成熟度较低的学科，在高等学校中则比较难以得到专门的设置。但这种情况也不是绝对的，特别是对一些高水平的研究型大学来说，它们对前沿科学的研究，很多就是对一些非成熟学科，或者尚处于胚芽状态，甚至还没有出现任何征兆以示可能会发展成为一门学科的研究领域，给予了很大的容忍、关注与发展，结果就有可能会引发或促进一些新兴学科和交叉学科的诞生。
（2）学科的发展潜力
这主要涉及到学科在高等学校设置中的稳定性和可持续发展的问题。
（3）高等学校的培养目标和办学特色
在高等学校考虑学科设置时，不仅要从学科自身发展的学术性方面来考虑，还要通过学校不同学科的结构状况来系统考虑不同学科的设置增减问题，考虑的出发点主要是高等学校的培养目标和办学特色问题。
（4）学校的现实社会效应
在考虑学科设置问题时，学科的现实社会效应也是一个很重要的因素。"
107,"论述题。高等学校专业设置和调整的原则与指导思想是什么？","专业设置与调整既要遵循现代科技发展的特点，又要依据一定的社会经济发展的阶段特征。专业设置的原则与指导思想包括以下几点：
（1）遵循经济社会发展需要和人才培养的规律
专业设置既要适应社会、经济的发展对人才需求的数量、类型、质量、规格上的变化，又要遵循教育的内部规律，符合学科发展趋势和人才培养规律，注意人才培养的超前性，注重专业设置与调整的社会效益和经济效益。
（2）适应学科、专业本身发展变化的需要
学科是专业设置的基础，专业的内容和发展方向要与学科的形成、发展、变化相适应。致力于培养宽知识面的人才是专业设置与调整的必然趋势。
（3）从实际出发，随时调整专业结构
根据经济结构的变化和专业发展趋势，及时调整专业知识结构，淡化专业界限；并利用新理论、新技术不断更新专业内容，及时反映学科发展的前沿和经济、科技进展的水平。
（4）专业范围覆盖面较宽广
拓宽专业品径，增强人才适应性是当前专业改造的主要方向。
（5）专业设置布局的合理性
人才培养的长周期性和迟效性要求专业设置的布局应在人才预测的基础上做出整体规划，注意在全国范围内合理、统一地布局。
（6）适合学校的办学条件高校在专业设置上，要力求稳定，避免频繁变动，影响专业的建设，同时又要适应经济、科学和社会发展的需要，及时根据本校办学的实际条件进行合理的专业调整、充实和提高。"
108,"简答题。简述教师职业道德原则的要求。","（1）树立无产阶级的世界观、人生观和价值观；
（2）树立崇高的理想、信念和价值目标；
（3）具备良好的专业能力素质；
（4）具有顽强的意志和崇高的精神境界。"
109,"简答题。简述教师公正的作用。","（1）有利于调动每个学生的学习积极性；
（2）有利于学生形成公正无私的道德品质；
（3）有利于教师威信的形成；
（4）有利于形成良好的教育教学环境。"
110,"论述题。教师职业道德的特点有哪些？","（1）教师职业道德适用的针对性；
（2）教师职业道德要求的双重性；
（3）教师职业道德内容的全面性；
（4）教师职业道德功能的多样性；
（5）教师职业道德行为的典范性。"
111,"论述题。制定培养目标应确立的几对关系有哪些？",高等学校培养目标是根据高等教育目的制定的，是高等教育目的的具体化。制定培养目标应确定的几对关系主要有：（1）德与才的关系德与才的关系也被称为红与专、政治与业务的关系。两者间不可偏废和相互替代，而是有机结合，只拥有其中一方面而缺失另一方面都不行。青年要处理好红与专、政治与业务的关系，把政治和业务结合起来。（2）身与心的关系身与心的关系即身体素质和心理发展的关系。身与心是人的全面发展中不可或缺的两方面，健康的身体是良好心理发展的物质基础，而健全的精神又是健康身体的保证。（3）专业素质与文化素质的关系专业素质主要是指有关的专业基础理论、基本技能和基本能力等，而文化素质主要指全面的科学文化素养，它是良好人格形成的重要条件。专业知识和技能的发挥，离不开良好的科学文化素养的支持。
112,"论述题。如何理解高等教育平等的含义？","高等教育平等是教育平等的一个重要组成部分，理解高等教育平等的含义，应准确把握以下两点：
（1）高等教育平等是一种理想与现实的复合体
高等教育平等作为一种理想，是指人们把接受高等教育看作是一种应有的权利，从而要求任何人都能不受限制地享受这种权利。高等教育与个人的经济收入、生活质量、社会地位等有着密切的联系，本着人人平等的原则，每个社会成员都应当充分享受这种权利，任何人为的障碍都是不合理的。人们甚至还试图借助高等教育平等达到消除社会差异的目的。高等教育平等作为一种理想，至少应包括进入高等学校的机会均等、受高等教育的过程平等、受高等教育的结果平等三个方面。
因此，高等教育平等作为一种理想所追求的是绝对平等。而现实中的高等教育平等只是相对的。高等教育平等已成为一个世界性的问题，每个家庭、每个人都关心着它，每个国家和社会都在积极探求有效的对策。高等教育平等作为人类共同面临的现实问题将长期存在。
（2）高等教育平等是一个发展的概念。高等教育平等问题是社会、经济、文化、教育发展到一定阶段的必然产物。而在不同的历史时期，高等教育平等的内涵是不同的，它伴随着社会进步、经济增长、教育发展而不断发展，经历了从“高等教育入学机会平等”到“学业成功机会平等”，再到“教育后就业及接受再教育机会平等”的过程，而且随着历史的发展，高等教育平等的概念还将进一步扩展。同时，高等教育平等的衡量指标也在不断变化，由“进入高校就读的机会是否平等”到“受教育年限、学校类型、课程内容是否表现机会平等”，再到“受教育过程是否有利于个人成为社会栋梁之才”。这些都表明高等教育平等是一个发展的概念。可见，不同历史时期高等教育平等实现的程度是不断变化的。而特定的历史时期，既要求实现特定程度的高等教育平等，又为它的实现提供了可能。"
113,"论述题。什么是通才教育？通才教育的特征有哪些？","（1）通才教育的概念
通才教育是一种通识教育，其目的是为了培养具有高尚情操，有高深学问、高级思维，能自我激励、自我发展的人才。它实行的是一种博雅教育，注重理智的培养和情感的陶冶。
（2）通才教育的特征
①传授的知识侧重基础性和经典性。通才教育非常重视基本理论、基本知识、基本技能和基本方法的训练，重视培养学生解决各种复杂问题的能力。
②教育内容的综合性和广泛性。通才教育的教学内容相当丰富，它不仅涵盖了多个学科领域，而且还充分体现了学科之间的相互交叉、渗透和综合。
③教育形式的多样性和灵活性。通才教育的目标可以通过各种不同的途径来实现，如设置通博类型的课程，开设综合学科讲座，举办专题讨论会等。"
